Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C13,100nf,C_0603_1608Metric,180.7434,-89.21,180,bottom
R4,10K,R_0603_1608Metric,190.4894,-89.615,90,bottom
U9,74LS148,SOIC-16_3.9x9.9mm_P1.27mm,183.9934,-95.14,-90,bottom
C1,100uf,CP_EIA-3528-12_Kemet-T,94.4584,-99.5,180,top
C2,10uf,CP_EIA-3216-10_Kemet-I,96.7584,-94,-90,top
C3,10uf,CP_EIA-3216-10_Kemet-I,94.4584,-94,-90,top
C4,100nf,C_0603_1608Metric,106.6959,-82.15,180,top
C5,100nf,C_0603_1608Metric,113.9709,-82.15,0,top
C6,100nf,C_0603_1608Metric,106.6959,-91.91,180,top
C7,100nf,C_0603_1608Metric,113.9709,-91.91,0,top
C8,100nf,C_0603_1608Metric,117.4309,-91.91,180,top
C9,100nf,C_0603_1608Metric,145.4734,-94.3525,-90,top
C10,100nf,C_0603_1608Metric,156.9034,-94.4125,-90,top
C11,100nf,C_0603_1608Metric,168.3334,-94.4125,-90,top
C12,100nf,C_0603_1608Metric,179.7634,-94.4125,-90,top
C14,100nf,C_0603_1608Metric,120.0392,-82.15,180,top
J2,Conn_02x03_Odd_Even,PinSocket_2x03_P1.27mm_Horizontal,193.0294,-86.3428,180,top
R1,10K,R_0603_1608Metric,194.2994,-89.615,90,top
R2,10K,R_0603_1608Metric,193.029399,-89.615,90,top
R3,10K,R_0603_1608Metric,191.7594,-89.615,90,top
R5,10K,R_0603_1608Metric,110.3334,-82.15,180,top
U1,LM1117-3.3,SOT-223-3_TabPin2,94.4584,-86.65,-90,top
U2,74LVC4245A,TSSOP-24_4.4x7.8mm_P0.65mm,110.3334,-87.03,-90,top
U3,74LVC4245A,TSSOP-24_4.4x7.8mm_P0.65mm,110.3334,-96.79,-90,top
U4,S29GL01GS,TSOP-I-56_18.4x14mm_P0.5mm,130.5017,-91.66,180,top
U5,74LVC245A,TSSOP-20_4.4x6.5mm_P0.65mm,149.7034,-96.5,0,top
U6,74LVC245A,TSSOP-20_4.4x6.5mm_P0.65mm,161.1334,-96.5,0,top
U7,74LVC245A,TSSOP-20_4.4x6.5mm_P0.65mm,172.5634,-96.5,0,top
U8,74LVC245A,TSSOP-20_4.4x6.5mm_P0.65mm,183.9934,-96.5,0,top
