Comment,Designator,Footprint,LCSC
100uf,C1,Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T,C122271
10uf,"C2,C3",Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I,C110052
100nf,"C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18",Capacitor_SMD:C_0603_1608Metric,C14663
Conn_02x03_Odd_Even,J2,Connector_PinSocket_1.27mm:PinSocket_2x03_P1.27mm_Horizontal,C2881889
10K,"R1,R2,R3,R4",Resistor_SMD:R_0603_1608Metric,C98220
LM1117-3.3,U1,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C23984
74LVC4245A,"U2,U3,U7,U9",Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm,C7859
S29GL256S,"U4,U10",Package_SO:TSOP-I-56_18.4x14mm_P0.5mm,C598853
74LVC245A,"U5,U6",Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,C7848
74LVC827,U8,Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm,C2652112
